prior_strength,corr,rmse,n
900.0,0.6551327149589423,4.721179887107468,171
1800.0,0.6331763604172193,5.119981772969247,171
3600.0,0.5898271695784392,5.463925131094421,171
7200.0,0.4843371391336263,5.705759268555237,171
