k,p_survival,ipw_weight
0,1.0,1.0
1,0.6479578115401545,1.5433103547637825
2,0.5084073396891733,1.9669267572167102
3,0.40455442265713915,2.4718553153663145
4,0.3984284532671629,2.509860909279635
5,0.30865384615384617,3.2398753894080996
6,0.2336848635235732,4.2792673214759755
7,0.2186827956989247,4.572833435771359
8,0.19137717121588088,5.225283630470017
9,0.11057692307692307,9.043478260869566
