coachID,year,tmID,confID,won,lost,games,performance
weisery99w,5,LAS,WE,11,3,14.0,2.5318085488879585
whisejo99w,5,SAC,WE,18,16,34.0,0.21754376114083507
wintebr01w,5,IND,EA,15,19,34.0,-0.8137396728007582
adubari99w,6,WAS,EA,16,18,34.0,1.5318984318782856
bibbyhe01w,6,LAS,WE,13,15,28.0,-2.181602561253846
boguemu01w,6,CHA,EA,3,7,10.0,-0.12240114881286746
bryanjo01w,6,LAS,WE,4,2,6.0,1.9286434911699497
chancva99w,6,HOU,WE,19,15,34.0,-0.7822237596630508
coylepa99w,6,NYL,EA,18,16,34.0,-0.8170422471316219
donovan99w,6,SEA,WE,20,14,34.0,0.055422263331942
grafca99wc,6,PHO,WE,16,18,34.0,0.3675332282194882
hugheda99w,6,SAS,WE,7,27,34.0,-1.8456607205633504
laceytr99w,6,CHA,EA,3,21,24.0,-3.676555088261679
laimbbi01w,6,DET,EA,16,18,34.0,3.129533070761108
mcconsu01w,6,MIN,WE,14,20,34.0,0.607456582918116
thibami99w,6,CON,EA,26,8,34.0,0.7723798382242449
whisejo99w,6,SAC,WE,25,9,34.0,-0.6800416720866417
wintebr01w,6,IND,EA,21,13,34.0,1.712660291269925
adubari99w,7,WAS,EA,18,16,34.0,0.17617480459160484
boguemu01w,7,CHA,EA,11,23,34.0,-0.8763343881747915
bryanjo01w,7,LAS,WE,25,9,34.0,2.9337825083831164
chancva99w,7,HOU,WE,18,16,34.0,-2.7593395400365086
cowenda01w,7,CHI,EA,5,29,34.0,-1.394661773939652
coylepa99w,7,NYL,EA,11,23,34.0,0.7084675111147907
donovan99w,7,SEA,WE,18,16,34.0,-0.31120795992858474
hugheda99w,7,SAS,WE,13,21,34.0,2.4789178490584307
jenkica99w,7,MIN,WE,1,10,11.0,-3.304698334539405
laimbbi01w,7,DET,EA,23,11,34.0,-0.02502815011940762
mcconsu01w,7,MIN,WE,9,14,23.0,1.8525769716358138
thibami99w,7,CON,EA,26,8,34.0,0.6212075286293581
westhpa99w,7,PHO,WE,18,16,34.0,1.0756580738931394
whisejo99w,7,SAC,WE,21,13,34.0,-1.1538786829901932
wintebr01w,7,IND,EA,21,13,34.0,-0.021636417577717615
adubari99w,8,WAS,EA,0,4,4.0,-4.159007594578018
bouceje01w,8,SAC,WE,19,15,34.0,0.6595466191255598
coopemi01w,8,LAS,WE,10,24,34.0,-0.181167306677962
coylepa99w,8,NYL,EA,16,18,34.0,0.6906275437551184
donovan99w,8,SEA,WE,17,17,34.0,-1.2469308869895306
hugheda99w,8,SAS,WE,20,14,34.0,-0.5226443545355457
laimbbi01w,8,DET,EA,24,10,34.0,0.8264394446861235
overtbo99w,8,CHI,EA,14,20,34.0,0.03000503409550266
rollitr01w,8,WAS,EA,16,14,30.0,3.0633275366075265
thibami99w,8,CON,EA,18,16,34.0,-1.0582878342525621
thompka99w,8,HOU,WE,13,21,34.0,-1.562380544144415
westhpa99w,8,PHO,WE,23,11,34.0,1.6712459096569754
wintebr01w,8,IND,EA,21,13,34.0,2.6649259875014035
zierddo99w,8,MIN,WE,10,24,34.0,-0.8756995542501749
aglerbr99w,9,SEA,WE,22,12,34.0,-0.006179277429618768
bouceje01w,9,SAC,WE,18,16,34.0,0.9406215695731965
coopemi01w,9,LAS,WE,20,14,34.0,1.7748453317243884
coylepa99w,9,NYL,EA,19,15,34.0,0.9693006631240855
dunnli99wc,9,IND,EA,17,17,34.0,-0.9688309403146536
gaineco01w,9,PHO,WE,16,18,34.0,-0.41994000385245256
hugheda99w,9,SAS,WE,24,10,34.0,-0.1355446521158763
kenlaje99w,9,WAS,EA,2,10,12.0,-2.214053346246797
keyst99wc,9,CHI,EA,12,22,34.0,-1.138099368479211
laimbbi01w,9,DET,EA,22,12,34.0,0.21659811814354038
meadoma99w,9,ATL,EA,4,30,34.0,-2.471827207530955
rollitr01w,9,WAS,EA,8,14,22.0,2.102471267435682
thibami99w,9,CON,EA,21,13,34.0,-0.7404390572699394
thompka99w,9,HOU,WE,17,17,34.0,0.29851834991689585
zierddo99w,9,MIN,WE,16,18,34.0,1.7925585533217183
