year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
3,IND,Indiana Fever,0.5,16.0,16.0,32.0,2097.0,2129.0,-32.0,0.62,0.38,0.31,,,,,10.0,0.19
4,IND,Indiana Fever,0.47,16.0,18.0,34.0,2337.0,2321.0,16.0,0.65,0.29,0.5,,,,,16.0,-0.03
5,IND,Indiana Fever,0.44,15.0,19.0,34.0,2198.0,2245.0,-47.0,0.59,0.29,0.47,,,,,16.0,-0.03
6,IND,Indiana Fever,0.62,21.0,13.0,34.0,2170.0,2133.0,37.0,0.82,0.41,0.44,,,,,15.0,0.18
7,IND,Indiana Fever,0.62,21.0,13.0,34.0,2435.0,2316.0,119.0,0.71,0.53,0.62,,,,,21.0,0.0
8,IND,Indiana Fever,0.62,21.0,13.0,34.0,2480.0,2370.0,110.0,0.71,0.53,0.62,,,,,21.0,0.0
9,IND,Indiana Fever,0.5,17.0,17.0,34.0,2473.0,2457.0,16.0,0.65,0.35,0.62,,,,,21.0,-0.12
10,IND,Indiana Fever,0.65,22.0,12.0,34.0,2606.0,2501.0,105.0,0.82,0.47,0.5,,,,,17.0,0.15
1,LAS,Los Angeles Sparks,0.88,28.0,4.0,32.0,2417.0,2169.0,248.0,0.94,0.81,,,,,,,
2,LAS,Los Angeles Sparks,0.88,28.0,4.0,32.0,2441.0,2166.0,275.0,1.0,0.75,0.88,,,,,28.0,0.0
3,LAS,Los Angeles Sparks,0.78,25.0,7.0,32.0,2452.0,2235.0,217.0,0.75,0.81,0.88,,,,,28.0,-0.09
4,LAS,Los Angeles Sparks,0.71,24.0,10.0,34.0,2499.0,2432.0,67.0,0.65,0.76,0.78,,,,,25.0,-0.08
5,LAS,Los Angeles Sparks,0.74,25.0,9.0,34.0,2495.0,2361.0,134.0,0.88,0.59,0.71,,,,,24.0,0.03
6,LAS,Los Angeles Sparks,0.5,17.0,17.0,34.0,2326.0,2345.0,-19.0,0.65,0.35,0.74,,,,,25.0,-0.24
7,LAS,Los Angeles Sparks,0.74,25.0,9.0,34.0,2575.0,2476.0,99.0,0.88,0.59,0.5,,,,,17.0,0.24
8,LAS,Los Angeles Sparks,0.29,10.0,24.0,34.0,2533.0,2708.0,-175.0,0.29,0.29,0.74,,,,,25.0,-0.44
9,LAS,Los Angeles Sparks,0.59,20.0,14.0,34.0,2598.0,2523.0,75.0,0.71,0.47,0.29,,,,,10.0,0.29
10,LAS,Los Angeles Sparks,0.53,18.0,16.0,34.0,2533.0,2498.0,35.0,0.65,0.41,0.59,,,,,20.0,-0.06
1,MIA,Miami Sol,0.41,13.0,19.0,32.0,1831.0,2001.0,-170.0,0.56,0.25,,,,,,,
2,MIA,Miami Sol,0.62,20.0,12.0,32.0,1957.0,1898.0,59.0,0.62,0.62,0.41,,,,,13.0,0.22
