year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,off_eff,def_eff,fg_pct,three_pct,ft_pct,opp_fg_pct,prop_3pt_shots,home_win_pct,away_win_pct,home_advantage,attend_per_game,confID,franchise_changed,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev,off_eff_norm,def_eff_norm,fg_pct_norm,three_pct_norm,ft_pct_norm,opp_fg_pct_norm,point_diff_norm
5,SEA,Seattle Storm,0.5882,20.0,14.0,34.0,2437.0,2264.0,173.0,71.6765,66.5882,0.4311,0.3804,0.7751,0.4279,0.2168,0.7647,0.4118,0.3529,3949.7353,WE,0.0,0.5294,,,,,18.0,0.0588,1.0687,0.9928,1.0262,1.0949,1.0451,1.0178,
6,SEA,Seattle Storm,0.5882,20.0,14.0,34.0,2498.0,2407.0,91.0,73.4706,70.7941,0.4385,0.331,0.7907,0.4124,0.2076,0.8235,0.3529,0.4706,4445.5882,WE,0.0,0.5882,,,,,20.0,0.0,1.0919,1.0522,1.0325,0.9894,1.0668,0.9703,
7,SEA,Seattle Storm,0.5294,18.0,16.0,34.0,2644.0,2575.0,69.0,77.7647,75.7353,0.4524,0.3368,0.7893,0.4238,0.2236,0.5294,0.5294,0.0,4284.2353,WE,0.0,0.5882,,,,,20.0,-0.0588,1.0336,1.0067,1.0657,1.0077,1.0552,0.9975,483.0
8,SEA,Seattle Storm,0.5,17.0,17.0,34.0,2734.0,2647.0,87.0,80.4118,77.8529,0.4362,0.3505,0.814,0.4252,0.2891,0.7059,0.2941,0.4118,3986.8529,WE,0.0,0.5294,,,,,18.0,-0.0294,1.0498,1.0164,1.0388,1.0091,1.0509,1.012,
9,SEA,Seattle Storm,0.6471,22.0,12.0,34.0,2493.0,2406.0,87.0,73.3235,70.7647,0.4257,0.3157,0.7582,0.3979,0.2145,0.9412,0.3529,0.5882,4132.4412,WE,0.0,0.5,,,,,17.0,0.1471,0.9614,0.9279,1.0137,0.9358,1.0093,0.9469,
10,SEA,Seattle Storm,0.5882,20.0,14.0,34.0,2544.0,2476.0,68.0,74.8235,72.8235,0.4296,0.3519,0.785,0.4102,0.2297,0.7647,0.4118,0.3529,3937.0,WE,0.0,0.6471,,,,,22.0,-0.0588,0.955,0.9295,1.0047,1.0269,1.0117,0.9588,
1,UTA,Utah Starzz,0.5625,18.0,14.0,32.0,2413.0,2407.0,6.0,75.4062,75.2188,0.4525,0.3359,0.7709,0.4379,0.1382,0.75,0.375,0.375,3232.5625,WE,1.0,,,,,,,,1.0925,1.0898,1.0485,1.0235,1.0425,1.0133,
2,UTA,Utah Starzz,0.5938,19.0,13.0,32.0,2207.0,2192.0,15.0,68.9688,68.5,0.4386,0.3197,0.7511,0.3993,0.132,0.5625,0.625,-0.0625,3453.3438,WE,1.0,0.5625,,,,,18.0,0.0312,1.0497,1.0425,1.0673,0.9553,1.0157,0.971,
3,UTA,Utah Starzz,0.625,20.0,12.0,32.0,2418.0,2344.0,74.0,75.5625,73.25,0.4411,0.3603,0.7618,0.4117,0.1293,0.75,0.5,0.25,3710.0,WE,1.0,0.5938,,,,,19.0,0.0312,1.1171,1.0829,1.0494,1.0663,1.0255,0.9787,
1,WAS,Washington Mystics,0.4375,14.0,18.0,32.0,2176.0,2221.0,-45.0,68.0,69.4062,0.4589,0.3254,0.6972,0.4507,0.1848,0.4375,0.4375,0.0,7629.1875,EA,0.0,,,,,,,,0.9852,1.0056,1.0633,0.9915,0.9429,1.0429,
2,WAS,Washington Mystics,0.3125,10.0,22.0,32.0,1928.0,2075.0,-147.0,60.25,64.8438,0.3859,0.2799,0.6607,0.4067,0.2183,0.5,0.125,0.375,7708.3438,EA,0.0,0.4375,,,,,14.0,-0.125,0.917,0.9869,0.939,0.8365,0.8934,0.9889,
3,WAS,Washington Mystics,0.5312,17.0,15.0,32.0,2135.0,2116.0,19.0,66.7188,66.125,0.422,0.3702,0.751,0.413,0.2319,0.5625,0.5,0.0625,8101.1562,EA,0.0,0.3125,,,,,10.0,0.2188,0.9864,0.9776,1.0038,1.0955,1.011,0.9819,
4,WAS,Washington Mystics,0.2647,9.0,25.0,34.0,2330.0,2498.0,-168.0,68.5294,73.4706,0.4089,0.3109,0.7515,0.4471,0.2305,0.1765,0.3529,-0.1765,7020.8824,EA,0.0,0.5312,,,,,17.0,-0.2665,1.0063,1.0789,0.9788,0.9269,1.0085,1.0696,
5,WAS,Washington Mystics,0.5,17.0,17.0,34.0,2325.0,2384.0,-59.0,68.3824,70.1176,0.4181,0.371,0.7171,0.4292,0.1355,0.6471,0.3529,0.2941,6307.2941,EA,0.0,0.2647,,,,,9.0,0.2353,1.0196,1.0454,0.9953,1.0679,0.9668,1.021,
6,WAS,Washington Mystics,0.4706,16.0,18.0,34.0,2263.0,2305.0,-42.0,66.5588,67.7941,0.4304,0.3549,0.7106,0.445,0.2591,0.5882,0.3529,0.2353,5044.1471,EA,0.0,0.5,,,,,17.0,-0.0294,0.9892,1.0076,1.0133,1.0608,0.9588,1.0469,
7,WAS,Washington Mystics,0.5294,18.0,16.0,34.0,2747.0,2657.0,90.0,80.7941,78.1471,0.462,0.3582,0.7385,0.4324,0.2374,0.7647,0.2941,0.4706,3919.2647,EA,0.0,0.4706,,,,,16.0,0.0588,1.0739,1.0388,1.0882,1.0717,0.9872,1.0178,630.0
8,WAS,Washington Mystics,0.4706,16.0,18.0,34.0,2585.0,2639.0,-54.0,76.0294,77.6176,0.4041,0.3087,0.7962,0.417,0.2433,0.4706,0.4706,0.0,3919.2647,EA,0.0,0.5294,,,,,18.0,-0.0588,0.9926,1.0133,0.9625,0.8887,1.0279,0.9922,
9,WAS,Washington Mystics,0.2941,10.0,24.0,34.0,2368.0,2601.0,-233.0,69.6471,76.5,0.4153,0.3543,0.6601,0.4432,0.2159,0.3529,0.2353,0.1176,4548.1471,EA,0.0,0.4706,,,,,16.0,-0.1765,0.9132,1.0031,0.989,1.0505,0.8787,1.0549,
10,WAS,Washington Mystics,0.4706,16.0,18.0,34.0,2585.0,2622.0,-37.0,76.0294,77.1176,0.4231,0.3263,0.7013,0.4327,0.1932,0.6471,0.2941,0.3529,5669.0294,EA,0.0,0.2941,,,,,10.0,0.1765,0.9704,0.9843,0.9896,0.9523,0.9039,1.0113,
