year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,off_eff,def_eff,fg_pct,three_pct,ft_pct,opp_fg_pct,prop_3pt_shots,home_win_pct,away_win_pct,home_advantage,attend_per_game,confID,franchise_changed,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev,off_eff_norm,def_eff_norm,fg_pct_norm,three_pct_norm,ft_pct_norm,opp_fg_pct_norm,point_diff_norm
4,IND,Indiana Fever,0.4706,16.0,18.0,34.0,2337.0,2321.0,16.0,68.7353,68.2647,0.4172,0.35,0.7975,0.4387,0.2984,0.6471,0.2941,0.3529,4169.9412,EA,0.0,0.5,,,,,16.0,-0.0294,1.0093,1.0024,0.9986,1.0435,1.0703,1.0494,
5,IND,Indiana Fever,0.4412,15.0,19.0,34.0,2198.0,2245.0,-47.0,64.6471,66.0294,0.3933,0.3451,0.7759,0.4311,0.2392,0.5882,0.2941,0.2941,3793.7941,EA,0.0,0.4706,,,,,16.0,-0.0294,0.9639,0.9845,0.9363,0.9933,1.046,1.0255,
6,IND,Indiana Fever,0.6176,21.0,13.0,34.0,2170.0,2133.0,37.0,63.8235,62.7353,0.4004,0.3205,0.7597,0.431,0.239,0.8235,0.4118,0.4118,4191.0,EA,0.0,0.4412,,,,,15.0,0.1765,0.9486,0.9324,0.9428,0.9581,1.0249,1.0141,
7,IND,Indiana Fever,0.6176,21.0,13.0,34.0,2435.0,2316.0,119.0,71.6176,68.1176,0.4072,0.3103,0.7663,0.4322,0.257,0.7059,0.5294,0.1765,3610.8235,EA,0.0,0.6176,,,,,21.0,0.0,0.9519,0.9055,0.9591,0.9284,1.0244,1.0172,833.0
8,IND,Indiana Fever,0.6176,21.0,13.0,34.0,2480.0,2370.0,110.0,72.9412,69.7059,0.4186,0.3443,0.7747,0.4019,0.252,0.7059,0.5294,0.1765,3938.6765,EA,0.0,0.6176,,,,,21.0,0.0,0.9522,0.91,0.9968,0.9912,1.0002,0.9564,
9,IND,Indiana Fever,0.5,17.0,17.0,34.0,2473.0,2457.0,16.0,72.7353,72.2647,0.402,0.3414,0.7546,0.4189,0.3038,0.6471,0.3529,0.2941,3851.2059,EA,0.0,0.6176,,,,,21.0,-0.1176,0.9537,0.9476,0.9574,1.0121,1.0044,0.997,
10,IND,Indiana Fever,0.6471,22.0,12.0,34.0,2606.0,2501.0,105.0,76.6471,73.5588,0.4024,0.3344,0.8217,0.4292,0.288,0.8235,0.4706,0.3529,3969.5294,EA,0.0,0.5,,,,,17.0,0.1471,0.9783,0.9389,0.941,0.9759,1.059,1.0031,
1,LAS,Los Angeles Sparks,0.875,28.0,4.0,32.0,2417.0,2169.0,248.0,75.5312,67.7812,0.4402,0.3319,0.7864,0.3953,0.2311,0.9375,0.8125,0.125,3281.4062,WE,0.0,,,,,,,,1.0943,0.982,1.0199,1.0112,1.0636,0.9148,
2,LAS,Los Angeles Sparks,0.875,28.0,4.0,32.0,2441.0,2166.0,275.0,76.2812,67.6875,0.451,0.367,0.7559,0.3924,0.2147,1.0,0.75,0.25,4638.9375,WE,0.0,0.875,,,,,28.0,0.0,1.161,1.0302,1.0975,1.0966,1.0221,0.9543,
3,LAS,Los Angeles Sparks,0.7812,25.0,7.0,32.0,2452.0,2235.0,217.0,76.625,69.8438,0.4451,0.3767,0.738,0.3902,0.2572,0.75,0.8125,-0.0625,5825.3125,WE,0.0,0.875,,,,,28.0,-0.0938,1.1328,1.0326,1.0587,1.1148,0.9934,0.9276,
4,LAS,Los Angeles Sparks,0.7059,24.0,10.0,34.0,2499.0,2432.0,67.0,73.5,71.5294,0.4178,0.3295,0.792,0.4034,0.2467,0.6471,0.7647,-0.1176,4645.1176,WE,0.0,0.7812,,,,,25.0,-0.0754,1.0793,1.0504,0.9999,0.9825,1.0629,0.9649,
5,LAS,Los Angeles Sparks,0.7353,25.0,9.0,34.0,2495.0,2361.0,134.0,73.3824,69.4412,0.4369,0.3792,0.7341,0.389,0.2001,0.8824,0.5882,0.2941,5213.7941,WE,0.0,0.7059,,,,,24.0,0.0294,1.0941,1.0354,1.0401,1.0915,0.9897,0.9254,
6,LAS,Los Angeles Sparks,0.5,17.0,17.0,34.0,2326.0,2345.0,-19.0,68.4118,68.9706,0.4275,0.3204,0.7238,0.4184,0.1895,0.6471,0.3529,0.2941,4427.0882,WE,0.0,0.7353,,,,,25.0,-0.2353,1.0167,1.0251,1.0066,0.9578,0.9765,0.9844,
7,LAS,Los Angeles Sparks,0.7353,25.0,9.0,34.0,2575.0,2476.0,99.0,75.7353,72.8235,0.4383,0.2944,0.7438,0.3997,0.1718,0.8824,0.5882,0.2941,4155.3529,WE,0.0,0.5,,,,,17.0,0.2353,1.0067,0.968,1.0323,0.8808,0.9943,0.9408,693.0
8,LAS,Los Angeles Sparks,0.2941,10.0,24.0,34.0,2533.0,2708.0,-175.0,74.5,79.6471,0.4078,0.3509,0.7863,0.4313,0.1978,0.2941,0.2941,0.0,4347.3529,WE,0.0,0.7353,,,,,25.0,-0.4412,0.9726,1.0398,0.9712,1.0101,1.0151,1.0263,
9,LAS,Los Angeles Sparks,0.5882,20.0,14.0,34.0,2598.0,2523.0,75.0,76.4118,74.2059,0.4244,0.3113,0.7517,0.3844,0.2157,0.7059,0.4706,0.2353,4754.0882,WE,0.0,0.2941,,,,,10.0,0.2941,1.0019,0.973,1.0106,0.923,1.0007,0.9149,
10,LAS,Los Angeles Sparks,0.5294,18.0,16.0,34.0,2533.0,2498.0,35.0,74.5,73.4706,0.4298,0.2969,0.7909,0.3992,0.2261,0.6471,0.4118,0.2353,5193.7353,WE,0.0,0.5882,,,,,20.0,-0.0588,0.9509,0.9378,1.0051,0.8664,1.0193,0.9331,
1,MIA,Miami Sol,0.4062,13.0,19.0,32.0,1831.0,2001.0,-170.0,57.2188,62.5312,0.3647,0.2742,0.6807,0.4266,0.1747,0.5625,0.25,0.3125,3991.2812,EA,0.0,,,,,,,,0.829,0.906,0.845,0.8355,0.9206,0.9872,
2,MIA,Miami Sol,0.625,20.0,12.0,32.0,1957.0,1898.0,59.0,61.1562,59.3125,0.4129,0.3153,0.7591,0.3936,0.1616,0.625,0.625,0.0,4428.6562,EA,0.0,0.4062,,,,,13.0,0.2188,0.9308,0.9027,1.0048,0.9421,1.0264,0.9572,
3,MIA,Miami Sol,0.4688,15.0,17.0,32.0,2046.0,2088.0,-42.0,63.9375,65.25,0.417,0.3316,0.6975,0.4326,0.2096,0.5625,0.375,0.1875,4414.125,EA,0.0,0.625,,,,,20.0,-0.1562,0.9453,0.9647,0.992,0.9814,0.939,1.0285,
1,MIN,Minnesota Lynx,0.4688,15.0,17.0,32.0,2193.0,2188.0,5.0,68.5312,68.375,0.4205,0.3573,0.7584,0.4295,0.3119,0.5,0.4375,0.0625,3644.9375,WE,0.0,,,,,,,,0.9929,0.9906,0.9744,1.0886,1.0257,0.9938,
2,MIN,Minnesota Lynx,0.375,12.0,20.0,32.0,2077.0,2156.0,-79.0,64.9062,67.375,0.3707,0.3188,0.7689,0.3902,0.305,0.375,0.375,0.0,3768.9688,WE,0.0,0.4688,,,,,15.0,-0.0938,0.9878,1.0254,0.9021,0.9528,1.0397,0.949,
3,MIN,Minnesota Lynx,0.3125,10.0,22.0,32.0,2003.0,2104.0,-101.0,62.5938,65.75,0.4096,0.332,0.6626,0.4134,0.2817,0.4375,0.1875,0.25,4371.0625,WE,0.0,0.375,,,,,12.0,-0.0625,0.9254,0.972,0.9743,0.9825,0.892,0.9827,
4,MIN,Minnesota Lynx,0.5294,18.0,16.0,34.0,2380.0,2370.0,10.0,70.0,69.7059,0.4424,0.3435,0.7212,0.4248,0.2649,0.6471,0.4118,0.2353,3536.8529,WE,0.0,0.3125,,,,,10.0,0.2169,1.0279,1.0236,1.0588,1.0242,0.9678,1.0162,
5,MIN,Minnesota Lynx,0.5294,18.0,16.0,34.0,2165.0,2190.0,-25.0,63.6765,64.4118,0.4037,0.3266,0.7094,0.4077,0.2853,0.6471,0.4118,0.2353,3679.3235,WE,0.0,0.5294,,,,,18.0,0.0,0.9494,0.9604,0.961,0.94,0.9564,0.9699,
6,MIN,Minnesota Lynx,0.4118,14.0,20.0,34.0,2211.0,2288.0,-77.0,65.0294,67.2941,0.4116,0.3496,0.7271,0.4269,0.2528,0.6471,0.1765,0.4706,3336.6765,WE,0.0,0.5294,,,,,18.0,-0.1176,0.9665,1.0001,0.9691,1.045,0.981,1.0045,
7,MIN,Minnesota Lynx,0.2941,10.0,24.0,34.0,2523.0,2735.0,-212.0,74.2059,80.4412,0.4274,0.3532,0.7122,0.4339,0.1895,0.4706,0.1176,0.3529,3221.2353,WE,0.0,0.4118,,,,,14.0,-0.1176,0.9863,1.0693,1.0067,1.0567,0.9521,1.0212,-1484.0
8,MIN,Minnesota Lynx,0.2941,10.0,24.0,34.0,2636.0,2752.0,-116.0,77.5294,80.9412,0.4123,0.3286,0.7878,0.4501,0.2106,0.4118,0.1765,0.2353,3559.3824,WE,0.0,0.2941,,,,,10.0,0.0,1.0121,1.0567,0.982,0.946,1.0171,1.0711,
9,MIN,Minnesota Lynx,0.4706,16.0,18.0,34.0,2767.0,2721.0,46.0,81.3824,80.0294,0.4303,0.322,0.7546,0.4387,0.1793,0.5294,0.4118,0.1176,3484.2059,WE,0.0,0.2941,,,,,10.0,0.1765,1.0671,1.0494,1.0248,0.9547,1.0045,1.0442,
10,MIN,Minnesota Lynx,0.4118,14.0,20.0,34.0,2731.0,2827.0,-96.0,80.3235,83.1471,0.4205,0.3482,0.7715,0.4606,0.3079,0.5294,0.2941,0.2353,3768.4412,WE,0.0,0.4706,,,,,16.0,-0.0588,1.0252,1.0613,0.9833,1.0162,0.9944,1.0766,
1,NYL,New York Liberty,0.625,20.0,12.0,32.0,2148.0,2035.0,113.0,67.125,63.5938,0.4364,0.3409,0.7566,0.4067,0.2182,0.75,0.5,0.25,7248.8125,EA,0.0,,,,,,,,0.9725,0.9214,1.011,1.0388,1.0232,0.9411,
2,NYL,New York Liberty,0.6562,21.0,11.0,32.0,2162.0,2082.0,80.0,67.5625,65.0625,0.4557,0.38,0.672,0.423,0.2303,0.8125,0.5,0.3125,7830.1562,EA,0.0,0.625,,,,,20.0,0.0312,1.0283,0.9902,1.1088,1.1357,0.9087,1.0285,
3,NYL,New York Liberty,0.5625,18.0,14.0,32.0,2089.0,2015.0,74.0,65.2812,62.9688,0.4437,0.3625,0.7055,0.3987,0.2299,0.625,0.5,0.125,7334.9062,EA,0.0,0.6562,,,,,21.0,-0.0938,0.9651,0.9309,1.0554,1.0727,0.9496,0.9479,
4,NYL,New York Liberty,0.4706,16.0,18.0,34.0,2243.0,2256.0,-13.0,65.9706,66.3529,0.429,0.362,0.7672,0.4191,0.26,0.6471,0.2941,0.3529,6245.4706,EA,0.0,0.5625,,,,,18.0,-0.0919,0.9687,0.9744,1.0268,1.0793,1.0296,1.0026,
5,NYL,New York Liberty,0.5294,18.0,16.0,34.0,2252.0,2297.0,-45.0,66.2353,67.5588,0.4239,0.3501,0.7495,0.4136,0.3194,0.6471,0.4118,0.2353,4943.0,EA,0.0,0.4706,,,,,16.0,0.0588,0.9876,1.0073,1.0091,1.0076,1.0105,0.984,
6,NYL,New York Liberty,0.5294,18.0,16.0,34.0,2316.0,2285.0,31.0,68.1176,67.2059,0.4452,0.3438,0.8188,0.4269,0.3253,0.5882,0.4706,0.1176,5070.0294,EA,0.0,0.5294,,,,,18.0,0.0,1.0124,0.9988,1.0481,1.0277,1.1048,1.0045,
7,NYL,New York Liberty,0.3235,11.0,23.0,34.0,2372.0,2656.0,-284.0,69.7647,78.1176,0.3973,0.3349,0.7877,0.4487,0.3117,0.4118,0.2353,0.1765,4560.2353,EA,0.0,0.5294,,,,,18.0,-0.2059,0.9273,1.0384,0.9358,1.0019,1.053,1.056,-1988.0
8,NYL,New York Liberty,0.4706,16.0,18.0,34.0,2413.0,2501.0,-88.0,70.9706,73.5588,0.4169,0.3721,0.7414,0.4139,0.3129,0.5882,0.3529,0.2353,4349.0,EA,0.0,0.3235,,,,,11.0,0.1471,0.9265,0.9603,0.9928,1.0712,0.9572,0.9848,
9,NYL,New York Liberty,0.5588,19.0,15.0,34.0,2573.0,2538.0,35.0,75.6765,74.6471,0.4207,0.3669,0.7504,0.4272,0.3256,0.6471,0.4706,0.1765,4522.7059,EA,0.0,0.4706,,,,,16.0,0.0882,0.9923,0.9788,1.0018,1.0876,0.9989,1.0167,
10,NYL,New York Liberty,0.3824,13.0,21.0,34.0,2512.0,2535.0,-23.0,73.8824,74.5588,0.4151,0.3577,0.7869,0.42,0.3275,0.4706,0.2941,0.1765,4900.1176,EA,0.0,0.5588,,,,,19.0,-0.1765,0.943,0.9517,0.9709,1.0441,1.0142,0.9817,
1,ORL,Orlando Miracle,0.5,16.0,16.0,32.0,2208.0,2233.0,-25.0,69.0,69.7812,0.4359,0.342,0.7271,0.4333,0.2219,0.6875,0.3125,0.375,3681.5625,EA,1.0,,,,,,,,0.9997,1.011,1.01,1.0421,0.9833,1.0027,
2,ORL,Orlando Miracle,0.4062,13.0,19.0,32.0,2140.0,2205.0,-65.0,66.875,68.9062,0.4013,0.3271,0.7325,0.4402,0.278,0.625,0.1875,0.4375,3714.8125,EA,1.0,0.5,,,,,16.0,-0.0938,1.0178,1.0487,0.9764,0.9774,0.9905,1.0704,
3,ORL,Orlando Miracle,0.5,16.0,16.0,32.0,2254.0,2255.0,-1.0,70.4375,70.4688,0.4222,0.3145,0.7632,0.4318,0.2409,0.625,0.375,0.25,3557.4062,EA,1.0,0.4062,,,,,13.0,0.0938,1.0413,1.0418,1.0042,0.9308,1.0273,1.0265,
1,PHO,Phoenix Mercury,0.625,20.0,12.0,32.0,2243.0,2102.0,141.0,70.0938,65.6875,0.4461,0.3147,0.7761,0.4229,0.2189,0.6875,0.5625,0.125,5033.5938,WE,0.0,,,,,,,,1.0155,0.9517,1.0336,0.959,1.0496,0.9786,
2,PHO,Phoenix Mercury,0.4062,13.0,19.0,32.0,2064.0,2169.0,-105.0,64.5,67.7812,0.405,0.3227,0.7308,0.4149,0.1653,0.625,0.1875,0.4375,4280.5938,WE,0.0,0.625,,,,,20.0,-0.2188,0.9817,1.0316,0.9854,0.9643,0.9882,1.0089,
3,PHO,Phoenix Mercury,0.3438,11.0,21.0,32.0,2091.0,2291.0,-200.0,65.3438,71.5938,0.4198,0.3049,0.7528,0.4545,0.1736,0.625,0.0625,0.5625,4368.6875,WE,0.0,0.4062,,,,,13.0,-0.0625,0.966,1.0584,0.9986,0.9022,1.0133,1.0806,
4,PHO,Phoenix Mercury,0.2353,8.0,26.0,34.0,2097.0,2270.0,-173.0,61.6765,66.7647,0.3823,0.3324,0.6817,0.4467,0.1666,0.3529,0.1176,0.2353,4250.3235,WE,0.0,0.3438,,,,,11.0,-0.1085,0.9057,0.9804,0.9151,0.991,0.9148,1.0686,
5,PHO,Phoenix Mercury,0.5,17.0,17.0,34.0,2300.0,2235.0,65.0,67.6471,65.7353,0.4298,0.3699,0.7625,0.4249,0.27,0.5882,0.4118,0.1765,4008.6765,WE,0.0,0.2353,,,,,8.0,0.2647,1.0086,0.9801,1.023,1.0648,1.0281,1.0108,
6,PHO,Phoenix Mercury,0.4706,16.0,18.0,34.0,2361.0,2354.0,7.0,69.4412,69.2353,0.4142,0.3302,0.7662,0.429,0.2703,0.6471,0.2941,0.3529,3651.3529,WE,0.0,0.5,,,,,17.0,-0.0294,1.032,1.029,0.9753,0.9871,1.0338,1.0093,
7,PHO,Phoenix Mercury,0.5294,18.0,16.0,34.0,2960.0,2879.0,81.0,87.0588,84.6765,0.4433,0.367,0.7851,0.4335,0.2966,0.5882,0.4706,0.1176,3729.4412,WE,0.0,0.4706,,,,,16.0,0.0588,1.1572,1.1256,1.0441,1.0981,1.0495,1.0202,567.0
8,PHO,Phoenix Mercury,0.6765,23.0,11.0,34.0,3025.0,2904.0,121.0,88.9706,85.4118,0.4394,0.3529,0.817,0.4046,0.3315,0.7059,0.6471,0.0588,3868.3529,WE,0.0,0.5294,,,,,18.0,0.1471,1.1615,1.115,1.0466,1.0158,1.0548,0.9628,
9,PHO,Phoenix Mercury,0.4706,16.0,18.0,34.0,3010.0,3009.0,1.0,88.5294,88.5,0.4302,0.3281,0.8305,0.4211,0.2821,0.5882,0.3529,0.2353,4260.7941,WE,0.0,0.6765,,,,,23.0,-0.2059,1.1608,1.1604,1.0245,0.9727,1.1056,1.0023,
10,PHO,Phoenix Mercury,0.6765,23.0,11.0,34.0,3156.0,3031.0,125.0,92.8235,89.1471,0.4597,0.3865,0.8551,0.4237,0.271,0.7059,0.6471,0.0588,4261.2941,WE,0.0,0.4706,,,,,16.0,0.2059,1.1848,1.1379,1.075,1.1279,1.102,0.9903,
1,POR,Portland Fire,0.3125,10.0,22.0,32.0,2155.0,2303.0,-148.0,67.3438,71.9688,0.4163,0.3349,0.7001,0.4266,0.2369,0.375,0.25,0.125,4158.625,WE,0.0,,,,,,,,0.9757,1.0427,0.9646,1.0204,0.9469,0.9873,
2,POR,Portland Fire,0.3438,11.0,21.0,32.0,2088.0,2202.0,-114.0,65.25,68.8125,0.3876,0.3314,0.7353,0.4069,0.2745,0.375,0.3125,0.0625,4301.75,WE,0.0,0.3125,,,,,10.0,0.0312,0.9931,1.0473,0.9432,0.9904,0.9943,0.9894,
3,POR,Portland Fire,0.5,16.0,16.0,32.0,2195.0,2227.0,-32.0,68.5938,69.5938,0.4249,0.3248,0.727,0.4345,0.2004,0.5625,0.4375,0.125,4020.5,WE,0.0,0.3438,,,,,11.0,0.1562,1.0141,1.0289,1.0108,0.9612,0.9785,1.0329,
1,SAC,Sacramento Monarchs,0.6562,21.0,11.0,32.0,2343.0,2176.0,167.0,73.2188,68.0,0.4395,0.3094,0.6908,0.4228,0.2303,0.8125,0.5,0.3125,3963.7812,WE,0.0,,,,,,,,1.0608,0.9852,1.0184,0.9427,0.9342,0.9785,
2,SAC,Sacramento Monarchs,0.625,20.0,12.0,32.0,2294.0,2139.0,155.0,71.6875,66.8438,0.424,0.3853,0.7395,0.4014,0.2143,0.75,0.5,0.25,4175.0938,WE,0.0,0.6562,,,,,21.0,-0.0312,1.091,1.0173,1.0318,1.1515,0.9999,0.9761,
3,SAC,Sacramento Monarchs,0.4375,14.0,18.0,32.0,2166.0,2294.0,-128.0,67.6875,71.6875,0.401,0.2835,0.7565,0.4192,0.2031,0.625,0.25,0.375,4505.5938,WE,0.0,0.625,,,,,20.0,-0.1875,1.0007,1.0598,0.954,0.8391,1.0183,0.9966,
4,SAC,Sacramento Monarchs,0.5588,19.0,15.0,34.0,2299.0,2216.0,83.0,67.6176,65.1765,0.4091,0.3171,0.6789,0.4098,0.2245,0.7059,0.4118,0.2941,4575.8235,WE,0.0,0.4375,,,,,14.0,0.1213,0.9929,0.9571,0.9792,0.9455,0.9111,0.9805,
5,SAC,Sacramento Monarchs,0.5294,18.0,16.0,34.0,2312.0,2241.0,71.0,68.0,65.9118,0.4218,0.3534,0.7202,0.429,0.1762,0.5882,0.4706,0.1176,4339.5294,WE,0.0,0.5588,,,,,19.0,-0.0294,1.0139,0.9827,1.0041,1.0173,0.971,1.0204,
