playerID,year
palmewe01w,1
parisco01w,10
parkeca01w,9
pascafl01w,9
pavlimi01w,2
payeka01w,1
penicti01w,1
pennjo01w,4
perkiji01w,5
pettibr01w,1
philler01w,7
phillta01w,1
pierspl01w,4
pondeca01w,7
potthan01w,1
powelel01w,1
powelni01w,5
pricear01w,8
pridely01w,1
pringla01w,9
queenbr01w,7
quiglal01w,9
quinnno01w,8
quinnte01w,1
radunha01w,2
raglafe01w,3
randase01w,2
rasmukr01w,1
raymost01w,8
reddja01w,1
reedbr01w,1
reidtr01w,1
rileyru01w,2
rizzoje01w,1
robinas01w,5
robincr01w,1
robinre01w,1
rolanja01w,1
rossad01w,9
rushle01w,9
salesny01w,1
sampsch01w,1
samsh01w,1
sanchis01w,5
sandeam01w,8
sanfona01w,4
sanniol01w,9
santoal01w,1
santoke01w,2
sarenra01w,1
sauerpa01w,1
saundja01w,2
saureau01w,2
schumke01w,2
schwege01w,2
scottol01w,1
shakiel01w,1
sharpkb01w,4
shielas01w,8
slaisma01w,1
slauggw01w,5
slavtge01w,4
smithai01w,4
smithbr01w,9
smithch02w,1
smithch03w,1
smithcr01w,7
smithje01w,6
smithka01w,1
smithki01w,7
smithla01w,1
smithta01w,1
smithty01w,8
smithwa01w,9
snellbe01w,6
snowmi01w,3
spencsi01w,8
spornra01w,2
stafftr01w,2
staleda01w,1
stansti01w,7
starbka01w,1
stedika01w,1
stepama01w,1
stephst01w,5
stevema01w,5
stileja01w,2
stinsan01w,1
stiresh01w,1
stockta01w,2
streiju01w,1
strotan01w,7
summela01w,6
sun-mju01w,4
suttota01w,2
swanike01w,9
swoopsh01w,1
tateso01w,1
tauradi01w,5
tayloli01w,5
taylope01w,2
teaslni01w,3
teilaza01w,7
terryka01w,7
thomaca01w,8
thomach01w,5
thomala01w,4
thomast01w,1
thompal01w,1
thompti01w,1
thorbsh01w,7
thorner01w,4
threaro01w,1
tilliic01w,5
timmsmi01w,1
tolivkr01w,10
torniel01w,1
torrele01w,2
traviti01w,1
tremich01w,1
turneba01w,7
tuvicsl01w,2
udokamf01w,4
ujhelpe01w,4
umoh-it01w,4
valdeam01w,1
vangomi01w,1
vaughki01w,10
vaughkr01w,9
vealkr01w,2
vilipda01w,7
vodicka01w,1
vodopna01w,6
walkeas01w,10
walkeay01w,3
walkede01w,1
walkema01w,9
walsema01w,2
washico01w,1
washito01w,1
wautean01w,1
weathte01w,1
webbum01w,1
weberma01w,8
weckeke01w,6
whaleli01w,5
whitede01w,5
whiteer01w,9
whiteta01w,6
whitiva01w,2
whitmta01w,1
whittje01w,2
whittkh01w,9
