role,n,w_pts36,w_reb36,w_ast36,w_stl36,w_blk36,w_tov36
guard,256.0,30.064025935605613,-8.09886357721681,63.89186586919687,12.429954192003404,-64.21278535115424,-47.21719088402691
wing,124.0,37.30204783950713,-16.620598233514393,51.573066414944435,43.596450154177404,-69.83759264775134,-49.98358515885885
forward,215.0,29.837316374754824,-11.682442372641482,5.670768422451567,7.613699736893405,91.21664250117213,7.043375715146776
forward_center,98.0,19.013825090933032,3.4002545120267826,39.016039108349496,102.10492648812475,-12.223632276913872,-117.88565684062414
center,84.0,18.429081149980536,-3.14230142837262,5.66353635084933,119.69591944739645,57.15230252412679,-23.44265728768489
