role,pts36,reb36,ast36,stl36,blk36,tov36,perf36
guard,11.05171690745812,3.7961320965252185,3.9242407886520043,1.5604196290622327,0.20987572739748506,2.6788460670231706,16.680272052312418
wing,13.370503418162233,4.542734811390149,3.0734832874060745,1.5195222698038864,0.4027655932236389,2.450943040303218,19.268509946452784
forward,12.771274982663263,6.642676414991838,2.1705727742327454,1.3492037150871303,0.693308778363628,2.4981238572294853,19.715208009441092
forward_center,13.375896254284767,7.76685766425911,1.628953855357976,1.2792721232357693,1.0657761805147277,2.6599495128128106,20.882135944569786
center,12.481659115274157,8.010501349084517,1.527269542699059,1.0393041406393697,1.7423222213638592,2.780112673819247,20.38585975818749
