year,tmID,name,season_win_pct,won,lost,GP,o_pts,d_pts,point_diff,home_win_pct,away_win_pct,prev_season_win_pct_1,prev_season_win_pct_3,prev_season_win_pct_5,prev_point_diff_3,prev_point_diff_5,prev_wins_1,win_pct_change_from_prev
4,IND,Indiana Fever,0.47,16,18,34,2337,2321,16,0.65,0.29,0.5,0.36,0.36,-68.33,-68.33,16.0,-0.03
5,IND,Indiana Fever,0.44,15,19,34,2198,2245,-47,0.59,0.29,0.47,0.43,0.39,-37.33,-47.25,16.0,-0.03
6,IND,Indiana Fever,0.62,21,13,34,2170,2133,37,0.82,0.41,0.44,0.47,0.4,-21.0,-47.2,15.0,0.18
7,IND,Indiana Fever,0.62,21,13,34,2435,2316,119,0.71,0.53,0.62,0.51,0.47,2.0,-24.4,21.0,0.0
8,IND,Indiana Fever,0.62,21,13,34,2480,2370,110,0.71,0.53,0.62,0.56,0.53,36.33,18.6,21.0,0.0
9,IND,Indiana Fever,0.5,17,17,34,2473,2457,16,0.65,0.35,0.62,0.62,0.55,88.67,47.0,21.0,-0.12
10,IND,Indiana Fever,0.65,22,12,34,2606,2501,105,0.82,0.47,0.5,0.58,0.56,81.67,47.0,17.0,0.15
1,LAS,Los Angeles Sparks,0.88,28,4,32,2417,2169,248,0.94,0.81,,,,,,,
2,LAS,Los Angeles Sparks,0.88,28,4,32,2441,2166,275,1.0,0.75,0.88,0.88,0.88,248.0,248.0,28.0,0.0
3,LAS,Los Angeles Sparks,0.78,25,7,32,2452,2235,217,0.75,0.81,0.88,0.88,0.88,261.5,261.5,28.0,-0.1
4,LAS,Los Angeles Sparks,0.71,24,10,34,2499,2432,67,0.65,0.76,0.78,0.85,0.85,246.67,246.67,25.0,-0.07
5,LAS,Los Angeles Sparks,0.74,25,9,34,2495,2361,134,0.88,0.59,0.71,0.79,0.81,186.33,201.75,24.0,0.03
6,LAS,Los Angeles Sparks,0.5,17,17,34,2326,2345,-19,0.65,0.35,0.74,0.74,0.8,139.33,188.2,25.0,-0.24
7,LAS,Los Angeles Sparks,0.74,25,9,34,2575,2476,99,0.88,0.59,0.5,0.65,0.72,60.67,134.8,17.0,0.24
8,LAS,Los Angeles Sparks,0.29,10,24,34,2533,2708,-175,0.29,0.29,0.74,0.66,0.69,71.33,99.6,25.0,-0.45
9,LAS,Los Angeles Sparks,0.59,20,14,34,2598,2523,75,0.71,0.47,0.29,0.51,0.6,-31.67,21.2,10.0,0.3
10,LAS,Los Angeles Sparks,0.53,18,16,34,2533,2498,35,0.65,0.41,0.59,0.54,0.57,-0.33,22.8,20.0,-0.06
1,MIA,Miami Sol,0.41,13,19,32,1831,2001,-170,0.56,0.25,,,,,,,
2,MIA,Miami Sol,0.62,20,12,32,1957,1898,59,0.62,0.62,0.41,0.41,0.41,-170.0,-170.0,13.0,0.21
3,MIA,Miami Sol,0.47,15,17,32,2046,2088,-42,0.56,0.38,0.62,0.52,0.52,-55.5,-55.5,20.0,-0.15
1,MIN,Minnesota Lynx,0.47,15,17,32,2193,2188,5,0.5,0.44,,,,,,,
2,MIN,Minnesota Lynx,0.38,12,20,32,2077,2156,-79,0.38,0.38,0.47,0.47,0.47,5.0,5.0,15.0,-0.09
3,MIN,Minnesota Lynx,0.31,10,22,32,2003,2104,-101,0.44,0.19,0.38,0.42,0.42,-37.0,-37.0,12.0,-0.07
4,MIN,Minnesota Lynx,0.53,18,16,34,2380,2370,10,0.65,0.41,0.31,0.39,0.39,-58.33,-58.33,10.0,0.22
